"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.584770374E0,-5.417110920E-1,5.706494674E-2,-4.652321815E0,4.684101364E0
5.604088390E0,-4.127748311E-1,4.553464428E-2,-3.233489752E0,3.260047920E0
5.623431878E0,1.005065977E-3,5.530316266E-4,7.930094600E-1,7.930102897E-1
5.642742793E0,2.245914042E-1,1.531879604E-2,3.978053570E0,3.984417921E0
5.662060681E0,3.316929340E-1,1.365405787E-2,4.192128181E0,4.205252112E0
5.681404041E0,1.381757855E-1,-1.176688005E-3,1.621502161E0,1.627379240E0
5.700721801E0,-2.430300564E-1,-8.152878843E-3,-2.212756872E0,2.226077953E0
5.720039689E0,-5.452259779E-1,6.969723850E-2,-4.474649906E0,4.508283582E0
5.739380801E0,-4.618146122E-1,7.614044845E-2,-3.080268383E0,3.115625686E0
5.758698689E0,-5.872345716E-2,1.542063896E-2,7.975617647E-1,7.998693700E-1
5.778016449E0,2.039754391E-1,-1.245321147E-2,3.841349602E0,3.846781489E0
5.797334209E0,2.960332632E-1,-6.532032276E-4,4.041939259E0,4.052765610E0
5.816677441E0,1.375817508E-1,-1.561396848E-2,1.512573481E0,1.518897978E0
5.835989287E0,-2.496992648E-1,1.902722195E-2,-2.144395113E0,2.158967846E0
5.855307047E0,-5.265301466E-1,7.002815604E-2,-4.310894012E0,4.343494575E0
5.874650151E0,-4.529883265E-1,8.955579996E-2,-2.957451105E0,2.993281762E0
5.893967911E0,-5.380707383E-1,9.386326373E-2,-2.952916145E0,3.003005860E0
5.913285671E0,-1.180667728E-1,2.900072932E-2,8.016502261E-1,8.108168043E-1
5.932603175E0,2.172967046E-1,-1.426863577E-2,3.922081470E0,3.928122263E0
